,Unnamed: 0,title,link,keyword
90,90,Kenapa Pengidap Diabetes Tak Disarankan Minum Jus Buah?,https://www.detik.com/sumut/berita/d-8214368/kenapa-pengidap-diabetes-tak-disarankan-minum-jus-buah,diabetes
92,92,"Kemenkes Bicara Kebiasaan Minum Manis Warga +62, Penyumbang 30 Persen Kasus Diabetes",https://health.detik.com/berita-detikhealth/d-8188591/kemenkes-bicara-kebiasaan-minum-manis-warga-62-penyumbang-30-persen-kasus-diabetes,diabetes
93,93,Wamenkes Soroti Obat Bahan Alam RI yang Bisa untuk Pasien Stroke-Diabetes,https://health.detik.com/berita-detikhealth/d-8255509/wamenkes-soroti-obat-bahan-alam-ri-yang-bisa-untuk-pasien-stroke-diabetes,diabetes
94,94,"Gaya Hidup Manis Picu Diabetes Dini, Ini Ciri-cirinya",https://www.detik.com/jatim/berita/d-8063649/gaya-hidup-manis-picu-diabetes-dini-ini-ciri-cirinya,diabetes
97,97,Gatal-gatal Nggak Sembuh? Mungkin Bukan Penyakit Kulit tapi Kena Diabetes,https://health.detik.com/berita-detikhealth/d-8213273/gatal-gatal-nggak-sembuh-mungkin-bukan-penyakit-kulit-tapi-kena-diabetes,diabetes
98,98,Awas Ini 7 Pantangan Makanan dan Minuman Bagi Penderita Diabetes!,https://www.detik.com/sumut/berita/d-8250979/awas-ini-7-pantangan-makanan-dan-minuman-bagi-penderita-diabetes,diabetes
100,100,"Kemenkes Soroti Lingkungan 'Obesogenik', Bikin Gen Z Gampang Kena Diabetes!",https://health.detik.com/berita-detikhealth/d-8188182/kemenkes-soroti-lingkungan-obesogenik-bikin-gen-z-gampang-kena-diabetes,diabetes
101,101,"Cerita Cipa, Idap Diabetes di Usia 29 Tahun Akibat Gaya Hidup",https://www.detik.com/jabar/berita/d-8269448/cerita-cipa-idap-diabetes-di-usia-29-tahun-akibat-gaya-hidup,diabetes
102,102,"Pasien Diabetes Makin Muda, Dokter Wanti-wanti Gen Z yang Doyan Jajan Manis",https://health.detik.com/berita-detikhealth/d-8187683/pasien-diabetes-makin-muda-dokter-wanti-wanti-gen-z-yang-doyan-jajan-manis,diabetes
104,104,Bolehkah Penderita Diabetes Makan Buah? Simak Fakta dan Tipsnya,https://health.detik.com/berita-detikhealth/d-8108877/bolehkah-penderita-diabetes-makan-buah-simak-fakta-dan-tipsnya,diabetes
105,105,"Anak Muda Ternyata Tetap Bisa Terkena Diabetes, Begini Cara Cegahnya",https://health.detik.com/berita-detikhealth/d-8124850/anak-muda-ternyata-tetap-bisa-terkena-diabetes-begini-cara-cegahnya,diabetes
106,106,"Gaya Hidup vs Genetik, Dokter Jelaskan Mana yang Lebih Berperan Picu Diabetes",https://health.detik.com/berita-detikhealth/d-8214960/gaya-hidup-vs-genetik-dokter-jelaskan-mana-yang-lebih-berperan-picu-diabetes,diabetes
107,107,"Rutin Cek Gula Darah, Upaya Sederhana Jaga Tubuh dari Diabetes",https://health.detik.com/berita-detikhealth/d-8120876/rutin-cek-gula-darah-upaya-sederhana-jaga-tubuh-dari-diabetes,diabetes
108,108,Apakah Pengidap Diabetes Boleh Konsumsi Mangga? Begini Penjelasan Studi,https://health.detik.com/berita-detikhealth/d-8170190/apakah-pengidap-diabetes-boleh-konsumsi-mangga-begini-penjelasan-studi,diabetes
110,110,"Cerita Wanita Surabaya Tak Sadar Kena Diabetes di Usia 29, Doyan Jajanan Viral",https://health.detik.com/berita-detikhealth/d-8269680/cerita-wanita-surabaya-tak-sadar-kena-diabetes-di-usia-29-doyan-jajanan-viral,diabetes
112,112,"FDA Wanti-wanti Risiko Salah Baca Alat Monitor Gula Darah, 7 Pasien Diabetes Meninggal",https://health.detik.com/berita-detikhealth/d-8247783/fda-wanti-wanti-risiko-salah-baca-alat-monitor-gula-darah-7-pasien-diabetes-meninggal,diabetes
113,113,7 Perubahan Pada Tubuh yang Menjadi 'Sinyal' Tanda Awal Diabetes,https://health.detik.com/berita-detikhealth/d-8154755/7-perubahan-pada-tubuh-yang-menjadi-sinyal-tanda-awal-diabetes,diabetes
114,114,Hati-hati! Dokter Bilang Kebiasaan Tidur Seperti Ini Bisa Tingkatkan Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8217293/hati-hati-dokter-bilang-kebiasaan-tidur-seperti-ini-bisa-tingkatkan-risiko-diabetes,diabetes
116,116,Dokter Mayapada Hospital Siaga 24 Jam Tangani Komplikasi Akut Diabetes,https://health.detik.com/berita-detikhealth/d-8126776/dokter-mayapada-hospital-siaga-24-jam-tangani-komplikasi-akut-diabetes,diabetes
117,117,Apakah Air Kelapa Boleh Dikonsumsi Pengidap Diabetes?,https://health.detik.com/berita-detikhealth/d-8078951/apakah-air-kelapa-boleh-dikonsumsi-pengidap-diabetes,diabetes
118,118,Alert! Wamenkes Soroti Makin Banyak Anak Muda di Bawah Umur 20-an Kena Diabetes,https://health.detik.com/berita-detikhealth/d-8221664/alert-wamenkes-soroti-makin-banyak-anak-muda-di-bawah-umur-20-an-kena-diabetes,diabetes
119,119,Dinkes Sebut Siswi SD di Lubuklinggau Terindikasi Diabetes Kembali Normal,https://www.detik.com/sumbagsel/berita/d-8096659/dinkes-sebut-siswi-sd-di-lubuklinggau-terindikasi-diabetes-kembali-normal,diabetes
120,120,"Penyakit Diabetes Hantui Anak Muda, Ini Ciri & Cara Cegahnya",https://health.detik.com/berita-detikhealth/d-8063645/penyakit-diabetes-hantui-anak-muda-ini-ciri-cara-cegahnya,diabetes
122,122,"Gatal Bisa Jadi Salah Satu Gejala Diabetes, Seperti Ini Ciri-cirinya",https://health.detik.com/berita-detikhealth/d-8194364/gatal-bisa-jadi-salah-satu-gejala-diabetes-seperti-ini-ciri-cirinya,diabetes
124,124,"Nikmat Sesaat, Bahaya Seumur Hidup: Awas Diabetes Mengintai!",https://health.detik.com/berita-detikhealth/d-8015548/nikmat-sesaat-bahaya-seumur-hidup-awas-diabetes-mengintai,diabetes
125,125,"Kronologi Wanita Surabaya Idap Diabetes di Usia 29 Tahun, Sempat Koma 12 Hari",https://health.detik.com/berita-detikhealth/d-8269901/kronologi-wanita-surabaya-idap-diabetes-di-usia-29-tahun-sempat-koma-12-hari,diabetes
126,126,"Siasat BPOM Bantu Tekan Angka Diabetes di Indonesia, Siapkan Label Nutri-Level",https://health.detik.com/berita-detikhealth/d-8188098/siasat-bpom-bantu-tekan-angka-diabetes-di-indonesia-siapkan-label-nutri-level,diabetes
129,129,Dokter Ungkap Cara Tubuh Memproses Gula hingga Tingkatkan Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8064094/dokter-ungkap-cara-tubuh-memproses-gula-hingga-tingkatkan-risiko-diabetes,diabetes
130,130,"BPJS Kesehatan Beri Warning Gagal Ginjal 'Meroket' di RI, Pembiayaan Naik 400 Persen!",https://health.detik.com/berita-detikhealth/d-8445566/bpjs-kesehatan-beri-warning-gagal-ginjal-meroket-di-ri-pembiayaan-naik-400-persen,diabetes
131,131,"Tak Terasa Tapi Bahaya, Kenali Penyebab Diabetes Sebelum Terlambat",https://health.detik.com/berita-detikhealth/d-8015588/tak-terasa-tapi-bahaya-kenali-penyebab-diabetes-sebelum-terlambat,diabetes
132,132,Benarkah Kumis Kucing Bisa Atasi Diabetes? Ini Penjelasan Pakar Herbal,https://health.detik.com/berita-detikhealth/d-8106548/benarkah-kumis-kucing-bisa-atasi-diabetes-ini-penjelasan-pakar-herbal,diabetes
133,133,"BPJS Kesehatan Beri Warning Gagal Ginjal 'Meroket' di RI, Pembiayaan Naik 400 Persen!",https://health.detik.com/berita-detikhealth/d-8445566/bpjs-kesehatan-beri-warning-gagal-ginjal-meroket-di-ri-pembiayaan-naik-400-persen,diabetes
134,134,Sering Haus dan Lemas? Awas Bisa Jadi Tanda Awal Diabetes!,https://health.detik.com/berita-detikhealth/d-8027362/sering-haus-dan-lemas-awas-bisa-jadi-tanda-awal-diabetes,diabetes
136,136,Ciri-ciri Luka Diabetes Basah di Kaki dan Cara Penanganannya,https://health.detik.com/berita-detikhealth/d-8073700/ciri-ciri-luka-diabetes-basah-di-kaki-dan-cara-penanganannya,diabetes
137,137,Waspadai 7 Tanda Awal Diabetes pada Tubuh yang Kerap Disepelekan,https://www.detik.com/sumut/berita/d-8155397/waspadai-7-tanda-awal-diabetes-pada-tubuh-yang-kerap-disepelekan,diabetes
138,138,"Pasien Diabetes-Hipertensi RI Naik 2 Kali Lipat, Sedot Biaya BPJS hingga Rp 35,3 T",https://health.detik.com/berita-detikhealth/d-8169165/pasien-diabetes-hipertensi-ri-naik-2-kali-lipat-sedot-biaya-bpjs-hingga-rp-35-3-t,diabetes
140,140,"Banyak Gen Z Nggak Sadar 'Diam-diam' Idap Diabetes, Waspadai Gejala Awalnya",https://health.detik.com/berita-detikhealth/d-8107347/banyak-gen-z-nggak-sadar-diam-diam-idap-diabetes-waspadai-gejala-awalnya,diabetes
141,141,"Bahaya Begadang Saat Puasa, Risiko Diabetes hingga Hipertensi",https://www.detik.com/jabar/berita/d-8374291/bahaya-begadang-saat-puasa-risiko-diabetes-hingga-hipertensi,diabetes
142,142,Dokter Jelaskan Cara Aman Penderita Diabetes Konsumsi Buah,https://www.detik.com/sumut/berita/d-8109183/dokter-jelaskan-cara-aman-penderita-diabetes-konsumsi-buah,diabetes
143,143,"Kemenkes Ungkap Situasi Diabetes di RI, Naik Terus hingga Tembus 30 Juta Kasus",https://health.detik.com/berita-detikhealth/d-8187949/kemenkes-ungkap-situasi-diabetes-di-ri-naik-terus-hingga-tembus-30-juta-kasus,diabetes
144,144,"Bahaya Begadang Saat Puasa, Risiko Diabetes hingga Hipertensi",https://www.detik.com/jabar/berita/d-8374291/bahaya-begadang-saat-puasa-risiko-diabetes-hingga-hipertensi,diabetes
145,145,Catat! Ini Daftar Buah yang Baik untuk Pengidap Diabetes,https://www.detik.com/sumut/berita/d-8033353/catat-ini-daftar-buah-yang-baik-untuk-pengidap-diabetes,diabetes
146,146,"Hati-hati Gejala Mulut Tanda Diabetes Berikut, Pernah Alami?",https://www.detik.com/kalimantan/berita/d-7983706/hati-hati-gejala-mulut-tanda-diabetes-berikut-pernah-alami,diabetes
148,148,"6 Tanda Tubuh Mengidap Diabetes, Salah Satunya Sering Lapar",https://www.detik.com/sumut/berita/d-7985704/6-tanda-tubuh-mengidap-diabetes-salah-satunya-sering-lapar,diabetes
150,150,Catat! Ini Daftar Camilan Sehat Malam Hari untuk Penderita Diabetes,https://www.detik.com/sumut/berita/d-7990858/catat-ini-daftar-camilan-sehat-malam-hari-untuk-penderita-diabetes,diabetes
152,152,"Dari Beri sampai Alpukat, Ini 4 Buah Terbaik untuk Pengidap Diabetes",https://health.detik.com/berita-detikhealth/d-8031596/dari-beri-sampai-alpukat-ini-4-buah-terbaik-untuk-pengidap-diabetes,diabetes
