title,link,keyword
"Komplikasi Diabetes Mengintai Diam-diam, Kenali Tandanya Sejak Dini!",https://www.detik.com/jatim/berita/d-8180364/komplikasi-diabetes-mengintai-diam-diam-kenali-tandanya-sejak-dini,diabetes
Catat! Ini 10 Tanda Awal Diabetes,https://www.detik.com/sumut/berita/d-8099358/catat-ini-10-tanda-awal-diabetes,diabetes
Temuan Mengejutkan: Basmi 'Sel Zombie' Bisa Jadi Kunci Atasi Diabetes,https://inet.detik.com/science/d-8226338/temuan-mengejutkan-basmi-sel-zombie-bisa-jadi-kunci-atasi-diabetes,diabetes
"Foto Boneka Barbie Edisi Pengidap Diabetes Tipe 1, Ada Pompa Insulinnya",https://health.detik.com/fotohealth/d-8007779/foto-boneka-barbie-edisi-pengidap-diabetes-tipe-1-ada-pompa-insulinnya,diabetes
Donna Agnesia Ungkap Pola Makan Keluarga Biar Bebas Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8213693/donna-agnesia-ungkap-pola-makan-keluarga-biar-bebas-risiko-diabetes,diabetes
Awas Diabetes! Ini Batas Konsumsi Gula yang Aman Menurut Kemenkes,https://health.detik.com/berita-detikhealth/d-8188588/awas-diabetes-ini-batas-konsumsi-gula-yang-aman-menurut-kemenkes,diabetes
Hari Diabetes Sedunia 14 November 2025: Tema dan Pesan Utamanya,https://news.detik.com/berita/d-8208630/hari-diabetes-sedunia-14-november-2025-tema-dan-pesan-utamanya,diabetes
"Tak Sekedar Kadar Gula Tinggi, Ini Deretan Komplikasi Fatal Diabetes",https://health.detik.com/berita-detikhealth/d-8180480/tak-sekedar-kadar-gula-tinggi-ini-deretan-komplikasi-fatal-diabetes,diabetes
Kabar Baik dari Ilmuwan Harvard! Ada Cara Baru Atasi Diabetes-Obesitas,https://health.detik.com/berita-detikhealth/d-8262571/kabar-baik-dari-ilmuwan-harvard-ada-cara-baru-atasi-diabetes-obesitas,diabetes
Sering Makan Mie Instan? Dokter Ungkap Fakta Soal Risiko Diabetes,https://food.detik.com/info-sehat/d-8180701/sering-makan-mie-instan-dokter-ungkap-fakta-soal-risiko-diabetes,diabetes
Mengapa Trump Bakal Tolak Orang Diabetes-Obesitas Masuk AS?,https://news.detik.com/internasional/d-8212920/mengapa-trump-bakal-tolak-orang-diabetes-obesitas-masuk-as,diabetes
Video: Emilia Contessa Meninggal Usai Idap Diabetes dan Gagal Jantung,https://20.detik.com/detikupdate/20250127-250127088/video-emilia-contessa-meninggal-usai-idap-diabetes-dan-gagal-jantung,diabetes
Perintah Baru Trump: Pemohon Visa yang Obesitas-Diabetes Bakal Ditolak,https://www.detik.com/kalimantan/berita/d-8211954/perintah-baru-trump-pemohon-visa-yang-obesitas-diabetes-bakal-ditolak,diabetes
"5 Tanda Tersembunyi saat Gula Darah Tak Terkontrol, Waspada kena Diabetes",https://health.detik.com/berita-detikhealth/d-8212772/5-tanda-tersembunyi-saat-gula-darah-tak-terkontrol-waspada-kena-diabetes,diabetes
"Ancaman Gula Berlebih: Manis Sesaat, Diabetes Sepanjang Hayat",https://health.detik.com/berita-detikhealth/d-8185504/ancaman-gula-berlebih-manis-sesaat-diabetes-sepanjang-hayat,diabetes
Keseruan Poundfit #BeatDiabetes Tropicana Slim Bareng Donna Agnesia,https://health.detik.com/fotohealth/d-7866772/keseruan-poundfit-beatdiabetes-tropicana-slim-bareng-donna-agnesia,diabetes
Amerika Serikat Tolak Pemohon Visa yang Obesitas dan Diabetes,https://www.detik.com/jabar/berita/d-8211947/amerika-serikat-tolak-pemohon-visa-yang-obesitas-dan-diabetes,diabetes
"Fakta-fakta Wanita Asal Surabaya Idap Diabetes Tipe 1,5 di Usia 29",https://health.detik.com/diet/d-8276675/fakta-fakta-wanita-asal-surabaya-idap-diabetes-tipe-1-5-di-usia-29,diabetes
Gula Darah Sering Naik-Turun? Produk Ini Bisa Bantu Penderita Diabetes,https://health.detik.com/berita-detikhealth/d-8192081/gula-darah-sering-naik-turun-produk-ini-bisa-bantu-penderita-diabetes,diabetes
"Jangan Abaikan Penyakit Diabetes, Dokter Ungkap Komplikasi Serius yang Bisa Menyertai",https://health.detik.com/berita-detikhealth/d-8188580/jangan-abaikan-penyakit-diabetes-dokter-ungkap-komplikasi-serius-yang-bisa-menyertai,diabetes
"Cerita Wanita Surabaya Idap Diabetes di Usia 29, Inikah Pemicunya?",https://health.detik.com/berita-detikhealth/d-8269324/cerita-wanita-surabaya-idap-diabetes-di-usia-29-inikah-pemicunya,diabetes
Sering Ngantuk Meski Tidur Cukup? Hati-hati Diabetes,https://health.detik.com/berita-detikhealth/d-8063663/sering-ngantuk-meski-tidur-cukup-hati-hati-diabetes,diabetes
"Diabetes Tak Selalu Bergejala, Ini Saran Dokter Buat yang Doyan Manis",https://health.detik.com/berita-detikhealth/d-8188008/diabetes-tak-selalu-bergejala-ini-saran-dokter-buat-yang-doyan-manis,diabetes
