,title,link,keyword
45,"Pemerintah Batasi Medsos untuk Anak, Bisa Cegah Hipertensi-Diabetes?",https://health.detik.com/berita-detikhealth/d-8427679/pemerintah-batasi-medsos-untuk-anak-bisa-cegah-hipertensi-diabetes,diabetes
46,"Ini Alasan Kebanyakan Gula Bisa Picu Diabetes, Sakit Jantung sampai Gagal Ginjal",https://health.detik.com/berita-detikhealth/d-8358711/ini-alasan-kebanyakan-gula-bisa-picu-diabetes-sakit-jantung-sampai-gagal-ginjal,diabetes
47,"10 Makanan Penurun Gula Darah, Cocok untuk Pengidap Diabetes",https://health.detik.com/berita-detikhealth/d-8282534/10-makanan-penurun-gula-darah-cocok-untuk-pengidap-diabetes,diabetes
48,BRIN Temukan Cemaran Obat Diabetes di Air DKI,https://health.detik.com/berita-detikhealth/d-8224230/brin-temukan-cemaran-obat-diabetes-di-air-dki,diabetes
49,Ancaman Komplikasi Diabetes di Balik Anggapan 'Boleh Gemuk Asal Sehat',https://health.detik.com/diet/d-8335714/ancaman-komplikasi-diabetes-di-balik-anggapan-boleh-gemuk-asal-sehat,diabetes
50,Diabetes Bisa Sembuh: Kabar Baik atau Hoax?,https://health.detik.com/berita-detikhealth/d-8209283/diabetes-bisa-sembuh-kabar-baik-atau-hoax,diabetes
51,Anti LEBAR-an setelah Lebaran Bareng Tropicana Slim!,https://20.detik.com/detikupdate/20250424-250424127/anti-lebar-an-setelah-lebaran-bareng-tropicana-slim,diabetes
52,"Kemenkes 'Upgrade' CKG di 2026, Pengobatan Diabetes-Hipertensi Gratis 15 Hari",https://health.detik.com/berita-detikhealth/d-8321812/kemenkes-upgrade-ckg-di-2026-pengobatan-diabetes-hipertensi-gratis-15-hari,diabetes
53,"Diabetes Mengintai, Sukabumi Perkuat Layanan Puskesmas",https://www.detik.com/jabar/berita/d-8214464/diabetes-mengintai-sukabumi-perkuat-layanan-puskesmas,diabetes
54,"Viral Tren 'Blue Matcha', Benarkah Lebih Aman untuk Diabetes?",https://health.detik.com/diet/d-8316886/viral-tren-blue-matcha-benarkah-lebih-aman-untuk-diabetes,diabetes
55,Foto: Transformasi Meghan Trainor Turun BB 27 Kg Pakai Obat Diabetes,https://wolipop.detik.com/foto-entertainment/d-8087056/foto-transformasi-meghan-trainor-turun-bb-27-kg-pakai-obat-diabetes,diabetes
56,"Beban Tersembunyi di Balik Diabetes, Saat Keluarga Ikut Berjuang",https://health.detik.com/berita-detikhealth/d-8209290/beban-tersembunyi-di-balik-diabetes-saat-keluarga-ikut-berjuang,diabetes
57,Hari Diabetes Sedunia 2025: Latar Belakang hingga Tema Tahun Ini,https://news.detik.com/berita/d-8210117/hari-diabetes-sedunia-2025-latar-belakang-hingga-tema-tahun-ini,diabetes
58,"Suplai Insulin Terhambat, Anak-anak Diabetes di Pengungsian Terancam Koma",https://health.detik.com/berita-detikhealth/d-8272864/suplai-insulin-terhambat-anak-anak-diabetes-di-pengungsian-terancam-koma,diabetes
59,"Angka Diabetes Melonjak di Turki, Tertinggi se-Eropa",https://news.detik.com/dw/d-8135835/angka-diabetes-melonjak-di-turki-tertinggi-se-eropa,diabetes
60,Keturunan vs Gaya Hidup: Mana yang Lebih Menentukan Risiko Diabetes?,https://health.detik.com/berita-detikhealth/d-8209297/keturunan-vs-gaya-hidup-mana-yang-lebih-menentukan-risiko-diabetes,diabetes
61,"WHO Soroti Harga Minuman Manis Murah, Warga Dunia Makin Rentan Kena Diabetes-Kanker",https://health.detik.com/berita-detikhealth/d-8322640/who-soroti-harga-minuman-manis-murah-warga-dunia-makin-rentan-kena-diabetes-kanker,diabetes
62,"Makan Buah Bikin Diabetes? Salah, Nggak Semua yang Manis Itu Jahat",https://health.detik.com/diet/d-8228778/makan-buah-bikin-diabetes-salah-nggak-semua-yang-manis-itu-jahat,diabetes
63,Faktor Utama Anak Muda Kena Gagal Ginjal,https://20.detik.com/detik-sore/20250312-250312124/faktor-utama-anak-muda-kena-gagal-ginjal,diabetes
64,"Komplikasi Diabetes Mengintai Diam-diam, Kenali Tandanya Sejak Dini!",https://www.detik.com/jatim/berita/d-8180364/komplikasi-diabetes-mengintai-diam-diam-kenali-tandanya-sejak-dini,diabetes
65,Catat! Ini 10 Tanda Awal Diabetes,https://www.detik.com/sumut/berita/d-8099358/catat-ini-10-tanda-awal-diabetes,diabetes
66,Temuan Mengejutkan: Basmi 'Sel Zombie' Bisa Jadi Kunci Atasi Diabetes,https://inet.detik.com/science/d-8226338/temuan-mengejutkan-basmi-sel-zombie-bisa-jadi-kunci-atasi-diabetes,diabetes
67,"Foto Boneka Barbie Edisi Pengidap Diabetes Tipe 1, Ada Pompa Insulinnya",https://health.detik.com/fotohealth/d-8007779/foto-boneka-barbie-edisi-pengidap-diabetes-tipe-1-ada-pompa-insulinnya,diabetes
68,Donna Agnesia Ungkap Pola Makan Keluarga Biar Bebas Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8213693/donna-agnesia-ungkap-pola-makan-keluarga-biar-bebas-risiko-diabetes,diabetes
69,Awas Diabetes! Ini Batas Konsumsi Gula yang Aman Menurut Kemenkes,https://health.detik.com/berita-detikhealth/d-8188588/awas-diabetes-ini-batas-konsumsi-gula-yang-aman-menurut-kemenkes,diabetes
