title,link,keyword
Dinkes Blitar Catat 144 Anak Terkena TBC Sepanjang 2025,https://www.detik.com/jatim/berita/d-8187681/dinkes-blitar-catat-144-anak-terkena-tbc-sepanjang-2025,tbc
Video: Vaksin TBC yang Diuji Saat Ini Bukan Produksi Bill Gates Foundation,https://20.detik.com/detikupdate/20250518-250518096/video-vaksin-tbc-yang-diuji-saat-ini-bukan-produksi-bill-gates-foundation,tbc
"Warga Diminta Waspada, TBC Masih Jadi Ancaman di Kuningan",https://www.detik.com/jabar/cirebon-raya/d-8158468/warga-diminta-waspada-tbc-masih-jadi-ancaman-di-kuningan,tbc
"Menko PMK Kampanye TBC di CFD, Minta Warga Tak Kucilkan Penderita",https://news.detik.com/berita/d-8201369/menko-pmk-kampanye-tbc-di-cfd-minta-warga-tak-kucilkan-penderita,tbc
62 Warga Positif TBC di Kelurahan Pelindung Hewan Bandung,https://www.detik.com/jabar/berita/d-8159043/62-warga-positif-tbc-di-kelurahan-pelindung-hewan-bandung,tbc
"Gratis, Warga Jakarta Antre Skrining TBC di RPTRA Gondangdia",https://health.detik.com/fotohealth/d-8056896/gratis-warga-jakarta-antre-skrining-tbc-di-rptra-gondangdia,tbc
Catatan DPRD Kota Bandung untuk Target Eliminasi TBC 2030,https://www.detik.com/jabar/berita/d-8203858/catatan-dprd-kota-bandung-untuk-target-eliminasi-tbc-2030,tbc
TBC dan Stunting Masih Jadi PR Kesehatan di Kota Bandung,https://www.detik.com/jabar/berita/d-8225857/tbc-dan-stunting-masih-jadi-pr-kesehatan-di-kota-bandung,tbc
Video Pramono Targetkan Seluruh RW di Jakarta Jadi Kampung Siaga TBC 2030,https://20.detik.com/detikupdate/20251114-251114139/video-pramono-targetkan-seluruh-rw-di-jakarta-jadi-kampung-siaga-tbc-2030,tbc
Wamenkes Soroti Angka Kematian Akibat TBC di RI: Lebih Banyak dari COVID,https://news.detik.com/berita/d-8209058/wamenkes-soroti-angka-kematian-akibat-tbc-di-ri-lebih-banyak-dari-covid,tbc
"Wamenkes Benny Ingin Minta Rp 20 T ke Prabowo, Janji Berantas TBC",https://health.detik.com/berita-detikhealth/d-8208997/wamenkes-benny-ingin-minta-rp-20-t-ke-prabowo-janji-berantas-tbc,tbc
